source,product_title,base_price,shipping_fee,cod_fee,coupon_value,in_stock,url,timestamp,pincode,rating,rating_count,https,domain_age_years,has_policy_pages,delivers_to_location,legitimacy_score,comparable_price
amazon,"Buy Dettol Original Handwash Liquid Soap Refill, 750ml | Germ Defence Formula | 10x Better Germ Protection Online at Low Prices in India - Amazon.in",109.0,0.0,0.0,0.0,False,https://www.amazon.in/Dettol-Liquid-Hand-wash-Original/dp/B0745G6D4G,2025-09-24T20:35:14.739901+00:00,,,28,True,,True,True,45,109.0
amazon,"Dettol Liquid Handwash Refill Pouch, Original- 750ml + Dettol Liquid Handwash Pump, Original- 200ml : Amazon.in: Beauty",198.0,0.0,0.0,0.0,False,https://www.amazon.in/Dettol-Original-Liquid-Soap-Refill-Original/dp/B07B32NXFR,2025-09-24T20:35:21.833060+00:00,,,325,True,,True,True,45,198.0
amazon,"Dettol Germ Protection ph-Balanced Liquid Handwash Refill, Skincare - 750 ml : Amazon.in: Beauty",102.0,0.0,0.0,0.0,False,https://www.amazon.in/Dettol-Protection-ph-Balanced-Handwash-Skincare/dp/B07KVXZ4K5,2025-09-24T20:35:25.742406+00:00,,,14,True,,True,True,45,102.0
amazon,"Dettol Liquid Handwash Refill - Sensitive ph-Balanced Hand Wash (Buy 1 Get 1 Free - 750ml each)| Antibacterial Formula | 10x Better Germ Protection, Purple : Amazon.in: Health & Pe",207.0,0.0,0.0,0.0,False,https://www.amazon.in/Dettol-Liquid-Handwash-Refill-Antibacterial/dp/B09G2YQQ91,2025-09-24T20:35:29.835238+00:00,,,47,True,,True,True,45,207.0
flipkart,"Dettol Skincare Liquid Handwash Refill Hand Wash Pouch - Price in India, Buy Dettol Skincare Liquid Handwash Refill Hand Wash Pouch Online In India, Reviews, Ratings & Features | F",424.0,0.0,0.0,0.0,False,https://www.flipkart.com/dettol-liquid-handwash-soap-refill-skincare-750-ml-hand-wash-pouch/p/itmfey66gghcp9ff,2025-09-24T20:35:35.509286+00:00,,,422,True,,True,True,45,424.0
flipkart,"Dettol Skincare Liquid Handwash Refill Hand Wash Pouch - Price in India, Buy Dettol Skincare Liquid Handwash Refill Hand Wash Pouch Online In India, Reviews, Ratings & Features | F",424.0,0.0,0.0,0.0,False,https://www.flipkart.com/dettol-liquid-handwash-soap-refill-skincare-750-ml/p/itmfey66gghcp9ff,2025-09-24T20:35:37.776214+00:00,,,422,True,,True,True,45,424.0
flipkart,"Dettol Original Liquid Handwash Pouch Hand Wash Pouch - Price in India, Buy Dettol Original Liquid Handwash Pouch Hand Wash Pouch Online In India, Reviews, Ratings & Features | Fli",186.0,0.0,0.0,0.0,False,https://www.flipkart.com/dettol-original-liquid-handwash-pouch-750ml-pack-2-hand-wash-pouch/p/itme217c228a6c62,2025-09-24T20:35:39.685897+00:00,,,853,True,,True,True,45,186.0
